region_id,month,mean_impact,sum_impact,freq_sentiment_score,article_count,n_very_positive,n_positive,n_neutral,n_negative,n_very_negative,dominant_category,dominant_sentiment
Jakarta Barat,2023-03,-0.0165,-0.0825,-0.2,5,0,2,0,3,0,market,negative
Jakarta Barat,2023-04,-0.018,-0.09,-0.2,5,0,2,0,3,0,market,negative
Jakarta Barat,2023-05,-0.017,-0.085,-0.2,5,0,2,0,3,0,market,negative
Jakarta Barat,2023-06,0.043333,0.13,1.0,3,0,3,0,0,0,market,positive
Jakarta Barat,2023-07,0.0375,0.075,1.0,2,0,2,0,0,0,development,positive
Jakarta Barat,2023-08,0.02,0.02,1.0,1,0,1,0,0,0,market,positive
Jakarta Barat,2023-09,0.041667,0.125,1.0,3,0,3,0,0,0,infrastructure,positive
Jakarta Barat,2023-10,0.025,0.05,1.0,2,0,2,0,0,0,development,positive
Jakarta Barat,2023-11,-0.003333,-0.01,0.3333,3,0,2,0,1,0,market,positive
Jakarta Barat,2023-12,0.065,0.13,2.0,2,1,1,0,0,0,development,positive
Jakarta Barat,2024-01,-0.061,-0.305,-1.4,5,0,1,0,2,2,disaster,very_negative
Jakarta Barat,2024-02,-0.026667,-0.08,-0.3333,3,0,1,0,2,0,disaster,negative
Jakarta Barat,2024-03,0.07,0.21,1.6667,3,1,2,0,0,0,development,positive
Jakarta Barat,2024-04,0.0375,0.075,1.0,2,0,2,0,0,0,development,positive
Jakarta Barat,2024-05,0.0525,0.105,1.0,2,0,2,0,0,0,development,positive
Jakarta Barat,2024-06,0.0475,0.095,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Barat,2024-07,0.0625,0.3125,1.4,5,1,4,0,0,0,policy,positive
Jakarta Barat,2024-08,0.0525,0.2625,1.4,5,1,4,0,0,0,market,positive
Jakarta Barat,2024-09,0.1075,0.43,2.5,4,3,1,0,0,0,infrastructure,very_positive
Jakarta Barat,2024-10,0.02,0.02,1.0,1,0,1,0,0,0,market,positive
Jakarta Barat,2024-11,0.0375,0.075,1.0,2,0,2,0,0,0,development,positive
Jakarta Barat,2024-12,0.01,0.03,0.3333,3,0,2,0,1,0,disaster,positive
Jakarta Barat,2025-01,0.01,0.02,0.5,2,0,1,1,0,0,market,positive
Jakarta Barat,2025-02,0.025,0.05,1.0,2,0,2,0,0,0,market,positive
Jakarta Barat,2025-03,0.04625,0.0925,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Barat,2025-04,0.02,0.06,0.6667,3,0,2,1,0,0,infrastructure,positive
Jakarta Barat,2025-05,0.04625,0.185,1.5,4,1,3,0,0,0,infrastructure,positive
Jakarta Barat,2025-06,0.051667,0.155,1.6667,3,1,2,0,0,0,infrastructure,positive
Jakarta Barat,2025-07,0.003333,0.01,0.3333,3,0,2,0,1,0,infrastructure,positive
Jakarta Barat,2025-08,0.03,0.03,1.0,1,0,1,0,0,0,infrastructure,positive
Jakarta Barat,2025-09,0.033333,0.1,1.0,3,0,3,0,0,0,development,positive
Jakarta Barat,2025-10,0.008333,0.025,0.3333,3,0,2,0,1,0,disaster,positive
Jakarta Barat,2025-11,0.09,0.18,2.0,2,1,1,0,0,0,infrastructure,positive
Jakarta Barat,2025-12,0.023333,0.07,1.0,3,1,1,0,1,0,market,positive
Jakarta Barat,2026-01,0.085,0.17,2.0,2,1,1,0,0,0,market,positive
Jakarta Barat,2026-02,0.02,0.06,0.6667,3,0,2,1,0,0,infrastructure,positive
Jakarta Pusat,2023-03,-0.0165,-0.0825,-0.2,5,0,2,0,3,0,market,negative
Jakarta Pusat,2023-04,-0.018,-0.09,-0.2,5,0,2,0,3,0,market,negative
Jakarta Pusat,2023-05,-0.002,-0.01,0.2,5,0,3,0,2,0,market,positive
Jakarta Pusat,2023-06,0.043333,0.13,1.0,3,0,3,0,0,0,market,positive
Jakarta Pusat,2023-07,0.03,0.06,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Pusat,2023-08,0.03,0.03,1.0,1,0,1,0,0,0,development,positive
Jakarta Pusat,2023-09,0.045,0.18,1.0,4,0,4,0,0,0,policy,positive
Jakarta Pusat,2023-10,0.008333,0.025,0.3333,3,0,2,0,1,0,policy,positive
Jakarta Pusat,2023-11,0.03,0.09,1.0,3,0,3,0,0,0,development,positive
Jakarta Pusat,2023-12,0.053333,0.16,1.6667,3,1,2,0,0,0,development,positive
Jakarta Pusat,2024-01,-0.0675,-0.27,-1.5,4,0,1,0,1,2,disaster,very_negative
Jakarta Pusat,2024-02,-0.01,-0.04,0.0,4,0,2,0,2,0,disaster,negative
Jakarta Pusat,2024-03,0.07,0.21,1.6667,3,1,2,0,0,0,infrastructure,positive
Jakarta Pusat,2024-04,0.03,0.09,1.0,3,0,3,0,0,0,development,positive
Jakarta Pusat,2024-05,0.0525,0.105,1.0,2,0,2,0,0,0,development,positive
Jakarta Pusat,2024-06,0.035,0.07,1.0,2,0,2,0,0,0,market,positive
Jakarta Pusat,2024-07,0.0595,0.2975,1.4,5,1,4,0,0,0,policy,positive
Jakarta Pusat,2024-08,0.0525,0.2625,1.4,5,1,4,0,0,0,market,positive
Jakarta Pusat,2024-09,0.1075,0.43,2.5,4,3,1,0,0,0,infrastructure,very_positive
Jakarta Pusat,2024-10,0.03,0.06,1.0,2,0,2,0,0,0,development,positive
Jakarta Pusat,2024-11,0.03,0.06,1.0,2,0,2,0,0,0,development,positive
Jakarta Pusat,2024-12,0.015,0.045,0.3333,3,0,2,0,1,0,market,positive
Jakarta Pusat,2025-01,0.02,0.06,0.6667,3,0,2,1,0,0,infrastructure,positive
Jakarta Pusat,2025-02,0.03,0.06,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Pusat,2025-03,0.0375,0.1125,1.0,3,0,3,0,0,0,development,positive
Jakarta Pusat,2025-04,0.025,0.075,0.6667,3,0,2,1,0,0,infrastructure,positive
Jakarta Pusat,2025-05,0.043,0.215,1.4,5,1,4,0,0,0,infrastructure,positive
Jakarta Pusat,2025-06,0.0425,0.17,1.5,4,1,3,0,0,0,infrastructure,positive
Jakarta Pusat,2025-07,0.003333,0.01,0.3333,3,0,2,0,1,0,development,positive
Jakarta Pusat,2025-08,0.03,0.03,1.0,1,0,1,0,0,0,infrastructure,positive
Jakarta Pusat,2025-09,0.0225,0.09,0.5,4,0,3,0,1,0,policy,positive
Jakarta Pusat,2025-10,0.03,0.03,1.0,1,0,1,0,0,0,development,positive
Jakarta Pusat,2025-11,0.04625,0.185,1.0,4,1,2,0,1,0,infrastructure,positive
Jakarta Pusat,2025-12,0.055833,0.1675,1.6667,3,1,2,0,0,0,policy,positive
Jakarta Pusat,2026-01,0.07,0.21,1.6667,3,1,2,0,0,0,development,positive
Jakarta Pusat,2026-02,0.016667,0.05,0.6667,3,0,2,1,0,0,infrastructure,positive
Jakarta Selatan,2023-03,-0.0135,-0.0675,-0.2,5,0,2,0,3,0,market,negative
Jakarta Selatan,2023-04,-0.0325,-0.13,-0.5,4,0,1,0,3,0,market,negative
Jakarta Selatan,2023-05,0.003,0.015,0.6,5,1,2,0,2,0,market,negative
Jakarta Selatan,2023-06,0.053333,0.16,1.6667,3,1,2,0,0,0,market,positive
Jakarta Selatan,2023-07,0.09,0.09,3.0,1,1,0,0,0,0,infrastructure,very_positive
Jakarta Selatan,2023-08,0.03,0.03,1.0,1,0,1,0,0,0,infrastructure,positive
Jakarta Selatan,2023-09,0.0525,0.105,1.0,2,0,2,0,0,0,development,positive
Jakarta Selatan,2023-10,0.02,0.04,1.0,2,0,2,0,0,0,environment,positive
Jakarta Selatan,2023-11,0.03,0.03,1.0,1,0,1,0,0,0,development,positive
Jakarta Selatan,2023-12,0.05,0.15,1.6667,3,1,2,0,0,0,market,positive
Jakarta Selatan,2024-01,-0.06,-0.24,-1.0,4,1,0,0,1,2,disaster,very_negative
Jakarta Selatan,2024-02,-0.023333,-0.07,-0.3333,3,0,1,0,2,0,disaster,negative
Jakarta Selatan,2024-03,0.09,0.18,2.0,2,1,1,0,0,0,development,positive
Jakarta Selatan,2024-04,0.025,0.05,1.0,2,0,2,0,0,0,development,positive
Jakarta Selatan,2024-05,0.038333,0.115,1.0,3,0,3,0,0,0,market,positive
Jakarta Selatan,2024-06,0.0475,0.095,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Selatan,2024-07,0.066875,0.2675,1.5,4,1,3,0,0,0,policy,positive
Jakarta Selatan,2024-08,0.060625,0.2425,1.5,4,1,3,0,0,0,market,positive
Jakarta Selatan,2024-09,0.092,0.46,2.6,5,4,1,0,0,0,infrastructure,very_positive
Jakarta Selatan,2024-10,0.04,0.12,1.6667,3,1,2,0,0,0,infrastructure,positive
Jakarta Selatan,2024-11,0.03,0.03,1.0,1,0,1,0,0,0,development,positive
Jakarta Selatan,2024-12,0.041667,0.125,1.0,3,0,3,0,0,0,infrastructure,positive
Jakarta Selatan,2025-01,0.025,0.075,0.6667,3,0,2,1,0,0,infrastructure,positive
Jakarta Selatan,2025-02,0.026667,0.08,1.0,3,0,3,0,0,0,development,positive
Jakarta Selatan,2025-03,0.044167,0.1325,1.6667,3,1,2,0,0,0,development,positive
Jakarta Selatan,2025-04,0.02,0.08,0.75,4,0,3,1,0,0,development,positive
Jakarta Selatan,2025-05,0.043,0.215,1.4,5,1,4,0,0,0,development,positive
Jakarta Selatan,2025-06,0.046667,0.14,1.6667,3,1,2,0,0,0,infrastructure,positive
Jakarta Selatan,2025-07,0.008333,0.025,0.3333,3,0,2,0,1,0,infrastructure,positive
Jakarta Selatan,2025-08,0.03,0.03,1.0,1,0,1,0,0,0,infrastructure,positive
Jakarta Selatan,2025-09,0.04,0.08,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Selatan,2025-10,0.025,0.05,1.0,2,0,2,0,0,0,development,positive
Jakarta Selatan,2025-11,0.105,0.21,3.0,2,2,0,0,0,0,infrastructure,very_positive
Jakarta Selatan,2025-12,0.065,0.13,2.0,2,1,1,0,0,0,development,positive
Jakarta Selatan,2026-01,0.066667,0.2,1.6667,3,1,2,0,0,0,development,positive
Jakarta Selatan,2026-02,0.025,0.1,1.25,4,1,2,1,0,0,infrastructure,positive
Jakarta Timur,2023-03,-0.00625,-0.0375,0.0,6,0,3,0,3,0,market,negative
Jakarta Timur,2023-04,-0.03,-0.12,-0.5,4,0,1,0,3,0,market,negative
Jakarta Timur,2023-05,-0.01,-0.04,0.0,4,0,2,0,2,0,market,negative
Jakarta Timur,2023-06,0.043333,0.13,1.0,3,0,3,0,0,0,market,positive
Jakarta Timur,2023-07,0.045,0.045,1.0,1,0,1,0,0,0,infrastructure,positive
Jakarta Timur,2023-08,0.03,0.09,1.0,3,0,3,0,0,0,development,positive
Jakarta Timur,2023-09,0.0525,0.105,1.0,2,0,2,0,0,0,development,positive
Jakarta Timur,2023-10,0.0275,0.11,1.0,4,0,4,0,0,0,development,positive
Jakarta Timur,2023-11,0.025,0.05,1.0,2,0,2,0,0,0,market,positive
Jakarta Timur,2023-12,0.053333,0.16,1.6667,3,1,2,0,0,0,infrastructure,positive
Jakarta Timur,2024-01,-0.048,-0.24,-1.0,5,0,2,0,1,2,disaster,very_negative
Jakarta Timur,2024-02,-0.01,-0.04,0.0,4,0,2,0,2,0,disaster,negative
Jakarta Timur,2024-03,0.06125,0.245,1.5,4,1,3,0,0,0,infrastructure,positive
Jakarta Timur,2024-04,0.025,0.05,1.0,2,0,2,0,0,0,market,positive
Jakarta Timur,2024-05,0.045,0.135,1.0,3,0,3,0,0,0,infrastructure,positive
Jakarta Timur,2024-06,0.041667,0.125,1.0,3,0,3,0,0,0,infrastructure,positive
Jakarta Timur,2024-07,0.0595,0.2975,1.4,5,1,4,0,0,0,policy,positive
Jakarta Timur,2024-08,0.052917,0.3175,1.3333,6,1,5,0,0,0,infrastructure,positive
Jakarta Timur,2024-09,0.105,0.42,2.5,4,3,1,0,0,0,infrastructure,very_positive
Jakarta Timur,2024-10,0.0375,0.075,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Timur,2024-11,0.0375,0.075,1.0,2,0,2,0,0,0,development,positive
Jakarta Timur,2024-12,0.0475,0.095,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Timur,2025-01,0.02625,0.105,0.75,4,0,3,1,0,0,infrastructure,positive
Jakarta Timur,2025-02,0.031667,0.095,1.0,3,0,3,0,0,0,infrastructure,positive
Jakarta Timur,2025-03,0.040833,0.1225,1.0,3,0,3,0,0,0,development,positive
Jakarta Timur,2025-04,0.015,0.03,0.5,2,0,1,1,0,0,infrastructure,positive
Jakarta Timur,2025-05,0.04625,0.185,1.5,4,1,3,0,0,0,infrastructure,positive
Jakarta Timur,2025-06,0.04625,0.185,1.5,4,1,3,0,0,0,infrastructure,positive
Jakarta Timur,2025-07,0.003333,0.01,0.3333,3,0,2,0,1,0,infrastructure,positive
Jakarta Timur,2025-08,0.0375,0.075,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Timur,2025-09,0.041667,0.125,1.0,3,0,3,0,0,0,infrastructure,positive
Jakarta Timur,2025-10,0.03,0.03,1.0,1,0,1,0,0,0,development,positive
Jakarta Timur,2025-11,0.085,0.17,2.0,2,1,1,0,0,0,market,positive
Jakarta Timur,2025-12,0.065,0.13,2.0,2,1,1,0,0,0,infrastructure,positive
Jakarta Timur,2026-01,0.09,0.18,2.0,2,1,1,0,0,0,infrastructure,positive
Jakarta Timur,2026-02,0.02,0.06,0.6667,3,0,2,1,0,0,infrastructure,positive
Jakarta Utara,2023-03,-0.0325,-0.1625,-0.6,5,0,1,0,4,0,market,negative
Jakarta Utara,2023-04,-0.03,-0.12,-0.5,4,0,1,0,3,0,market,negative
Jakarta Utara,2023-05,-0.023333,-0.07,-0.3333,3,0,1,0,2,0,market,negative
Jakarta Utara,2023-06,0.048333,0.145,1.0,3,0,3,0,0,0,market,positive
Jakarta Utara,2023-07,0.03,0.03,1.0,1,0,1,0,0,0,infrastructure,positive
Jakarta Utara,2023-08,0.045,0.09,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Utara,2023-09,0.05,0.15,1.0,3,0,3,0,0,0,development,positive
Jakarta Utara,2023-10,0.025,0.05,1.0,2,0,2,0,0,0,development,positive
Jakarta Utara,2023-11,0.03,0.03,1.0,1,0,1,0,0,0,development,positive
Jakarta Utara,2023-12,0.04,0.08,1.0,2,1,0,0,1,0,environment,negative
Jakarta Utara,2024-01,-0.061,-0.305,-1.4,5,0,1,0,2,2,disaster,very_negative
Jakarta Utara,2024-02,-0.02125,-0.085,-0.5,4,0,1,0,3,0,disaster,negative
Jakarta Utara,2024-03,0.043333,0.13,1.0,3,1,1,0,1,0,infrastructure,negative
Jakarta Utara,2024-04,-0.005,-0.015,0.3333,3,0,2,0,1,0,infrastructure,positive
Jakarta Utara,2024-05,0.045,0.18,1.0,4,0,4,0,0,0,infrastructure,positive
Jakarta Utara,2024-06,0.04,0.08,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Utara,2024-07,0.04375,0.2625,1.0,6,1,4,0,1,0,policy,positive
Jakarta Utara,2024-08,0.0335,0.1675,1.0,5,1,3,0,1,0,market,positive
Jakarta Utara,2024-09,0.086667,0.52,2.0,6,3,3,0,0,0,infrastructure,very_positive
Jakarta Utara,2024-10,0.06,0.06,3.0,1,1,0,0,0,0,infrastructure,very_positive
Jakarta Utara,2024-11,-0.01,-0.02,0.0,2,0,1,0,1,0,disaster,negative
Jakarta Utara,2024-12,0.041667,0.125,1.0,3,0,3,0,0,0,infrastructure,positive
Jakarta Utara,2025-01,-0.015,-0.03,-0.5,2,0,0,1,1,0,environment,negative
Jakarta Utara,2025-02,-0.05,-0.05,-1.0,1,0,0,0,1,0,disaster,negative
Jakarta Utara,2025-03,0.005833,0.0175,0.3333,3,0,2,0,1,0,infrastructure,positive
Jakarta Utara,2025-04,0.02,0.06,0.6667,3,0,2,1,0,0,infrastructure,positive
Jakarta Utara,2025-05,0.05,0.2,1.5,4,1,3,0,0,0,development,positive
Jakarta Utara,2025-06,0.019,0.095,1.0,5,1,3,0,1,0,infrastructure,positive
Jakarta Utara,2025-07,0.01375,0.055,0.5,4,0,3,0,1,0,infrastructure,positive
Jakarta Utara,2025-08,-0.0,-0.0,0.3333,3,0,2,0,1,0,infrastructure,positive
Jakarta Utara,2025-09,0.04,0.08,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Utara,2025-10,0.03,0.09,1.0,3,0,3,0,0,0,development,positive
Jakarta Utara,2025-11,0.065,0.13,1.0,2,1,0,0,1,0,environment,negative
Jakarta Utara,2025-12,0.0075,0.03,0.5,4,1,1,0,2,0,disaster,negative
Jakarta Utara,2026-01,0.048333,0.145,1.0,3,1,1,0,1,0,infrastructure,negative
Jakarta Utara,2026-02,-0.025,-0.05,-0.5,2,0,0,1,1,0,disaster,negative
